sub,PR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,first_half,second_half
5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0.5,0.5,1.0,0.25,2.7125,0.0,0.5
5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,0.8333333333333334,0.75,0.75,0.75,9.3246,1.0,0.5
601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,0.8333333333333334,0.5,1.0,0.25,2.5469,0.0,0.5
5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv,0.6666666666666666,0.25,0.75,0.75,4.5731,0.5,1.0
5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv,0.5,0.5,1.0,0.75,1.8742,0.5,1.0
5fbfe145e52a44000a9c2966_study2_2022-11-23_10h58.38.413.csv,1.0,0.5,1.0,0.0,14.1796,0.0,0.0
5PARTICIPANT_study2_2022-11-23_11h53.11.001.csv,0.6666666666666666,0.25,0.25,0.5,8.3779,0.5,0.5
5f1bf7bb9f48184274051108_study2_2022-11-23_09h51.40.832.csv,0.6666666666666666,0.75,0.75,0.25,5.717599999999999,0.5,0.0
60b8db5feb283b86cce8de9f_study2_2022-11-23_11h56.57.014.csv,0.5,0.75,0.75,0.25,2.9872000000000005,0.0,0.5
5e1b2b3e4a955b350b1e0a63_study2_2022-11-23_09h52.24.834.csv,0.3333333333333333,0.75,0.25,0.5,5.914199999999999,0.5,0.5
5PARTICIPANT_study2_2022-11-23_10h51.57.760.csv,0.0,0.5,1.0,1.0,1.5269,1.0,1.0
5d00bb3b51669b000136a986_study2_2022-11-23_11h09.39.470.csv,1.0,0.5,1.0,0.5,9.052999999999999,1.0,0.0
5Loredana_study2_2022-11-23_10h54.43.783.csv,0.3333333333333333,0.5,1.0,0.5,1.6753,1.0,0.0
60ddfb3db6a71ad9ba75e387_study2_2022-11-23_11h15.19.267.csv,0.8333333333333334,0.5,1.0,0.5,4.012999999999999,0.5,0.5
617406fbfced12169896d158_study2_2022-11-23_09h58.31.144.csv,0.5,0.5,1.0,1.0,7.603599999999999,1.0,1.0
5c90ca85283c32001673f991_study2_2022-11-22_14h06.18.837.csv,1.0,0.75,0.75,0.25,4.6046,0.5,0.0
5d68c8aa40524c00189e8ac2_study2_2022-11-23_10h16.02.739.csv,0.0,0.5,1.0,1.0,1.5126,1.0,1.0
5e31a1526ef37a1879a94441_study2_2022-11-23_09h51.21.426.csv,0.6666666666666666,0.5,1.0,0.0,9.184000000000001,0.0,0.0
601af58d7a38a0411f4605c9_study2_2022-11-23_10h51.30.419.csv,0.6666666666666666,0.5,1.0,0.5,7.505,0.0,1.0
5df2235d5a34251266ea645e_study2_2022-11-23_11h39.52.089.csv,0.8333333333333334,0.5,1.0,1.0,1.7605,1.0,1.0
5PARTICIPANT_study2_2022-11-23_11h51.47.768.csv,0.6666666666666666,0.75,0.75,0.25,11.4594,0.0,0.5
609568823ff056b77e565445_study2_2022-11-22_13h59.57.028.csv,0.6666666666666666,0.5,1.0,0.0,6.2278,0.0,0.0
5db1bba0e20f58000b8717f6_study2_2022-11-23_11h57.41.157.csv,0.3333333333333333,0.5,0.5,0.25,4.3933,0.5,0.0
5ea1965fc546e204bb568292_study2_2022-11-23_10h51.08.039.csv,0.3333333333333333,0.5,0.5,0.75,2.4071,1.0,0.5
595ceea8dd044900012ce64a_study2_2022-11-23_09h51.24.946.csv,0.3333333333333333,0.5,1.0,0.0,4.2043,0.0,0.0
6165cce4ebbd0d82c75e40fc_study2_2022-11-23_11h53.08.899.csv,0.8333333333333334,0.5,1.0,0.0,7.136900000000001,0.0,0.0
591a1f4800a5650001276188_study2_2022-11-23_11h03.13.123.csv,0.5,0.75,0.75,1.0,4.466,1.0,1.0
5PARTICIPANT_study2_2022-11-23_09h51.04.928.csv,0.8333333333333334,0.5,1.0,0.75,9.808499999999999,0.5,1.0
63174af7d57182f9bf90c094_study2_2022-11-23_09h51.09.126.csv,0.5,0.5,1.0,0.25,3.4779999999999998,0.5,0.0
5PARTICIPANT_study2_2022-11-23_11h50.53.811.csv,0.6666666666666666,0.5,1.0,1.0,4.0138,1.0,1.0
60a50457d02bfc23c02d4717_study2_2022-11-23_11h52.24.756.csv,0.6666666666666666,0.5,1.0,1.0,6.898599999999999,1.0,1.0
60e07fb75b201859ff688f91_study2_2022-11-23_12h05.15.406.csv,0.6666666666666666,0.5,1.0,0.0,3.3838999999999997,0.0,0.0
5PARTICIPANT_study2_2022-11-23_09h52.22.659.csv,0.3333333333333333,0.5,1.0,1.0,4.4949,1.0,1.0
5de42a01a7cb2401ccc682c3_study2_2022-11-23_11h28.58.420.csv,0.5,0.5,1.0,1.0,1.8454000000000002,1.0,1.0
