sub,PR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr
5Loredana_study2_2022-11-23_10h54.43.783.csv,0.3333333333333333,0.5,1.0,0.5,0.35355000000000003
60ddfb3db6a71ad9ba75e387_study2_2022-11-23_11h15.19.267.csv,0.8333333333333334,0.5,1.0,0.5,0.567
617406fbfced12169896d158_study2_2022-11-23_09h58.31.144.csv,0.5,0.5,1.0,1.0,0.7078
5c90ca85283c32001673f991_study2_2022-11-22_14h06.18.837.csv,1.0,0.75,0.75,0.25,0.3351
5d68c8aa40524c00189e8ac2_study2_2022-11-23_10h16.02.739.csv,0.0,0.5,1.0,1.0,0.7563
5e31a1526ef37a1879a94441_study2_2022-11-23_09h51.21.426.csv,0.6666666666666666,0.5,1.0,0.0,1.238
601af58d7a38a0411f4605c9_study2_2022-11-23_10h51.30.419.csv,0.6666666666666666,0.5,1.0,0.5,0.46194999999999997
5df2235d5a34251266ea645e_study2_2022-11-23_11h39.52.089.csv,0.8333333333333334,0.5,1.0,1.0,0.2022
5PARTICIPANT_study2_2022-11-23_11h51.47.768.csv,0.6666666666666666,0.75,0.75,0.25,0.949
609568823ff056b77e565445_study2_2022-11-22_13h59.57.028.csv,0.6666666666666666,0.5,1.0,0.0,0.7072499999999999
5db1bba0e20f58000b8717f6_study2_2022-11-23_11h57.41.157.csv,0.3333333333333333,0.5,0.5,0.25,0.7926500000000001
5ea1965fc546e204bb568292_study2_2022-11-23_10h51.08.039.csv,0.3333333333333333,0.5,0.5,0.75,0.657
595ceea8dd044900012ce64a_study2_2022-11-23_09h51.24.946.csv,0.3333333333333333,0.5,1.0,0.0,0.8312999999999999
6165cce4ebbd0d82c75e40fc_study2_2022-11-23_11h53.08.899.csv,0.8333333333333334,0.5,1.0,0.0,0.3611
591a1f4800a5650001276188_study2_2022-11-23_11h03.13.123.csv,0.5,0.75,0.75,1.0,0.63
5PARTICIPANT_study2_2022-11-23_09h51.04.928.csv,0.8333333333333334,0.5,1.0,0.75,0.8845
63174af7d57182f9bf90c094_study2_2022-11-23_09h51.09.126.csv,0.5,0.5,1.0,0.25,0.466
5PARTICIPANT_study2_2022-11-23_11h50.53.811.csv,0.6666666666666666,0.5,1.0,1.0,0.4596
60a50457d02bfc23c02d4717_study2_2022-11-23_11h52.24.756.csv,0.6666666666666666,0.5,1.0,1.0,0.7287
60e07fb75b201859ff688f91_study2_2022-11-23_12h05.15.406.csv,0.6666666666666666,0.5,1.0,0.0,0.4184
5PARTICIPANT_study2_2022-11-23_09h52.22.659.csv,0.3333333333333333,0.5,1.0,1.0,0.6951499999999999
5de42a01a7cb2401ccc682c3_study2_2022-11-23_11h28.58.420.csv,0.5,0.5,1.0,1.0,0.2415
